parents,husband,wife,husband_id,wife_id,child_name,child_sex,child_order,epic,source,comments,row_type,historicity,family_id
Arthur and Morgause,Arthur,Morgause,arthurian::arthur,arthurian::morgause,Mordred,male,1,arthurian,Malory Le Morte d'Arthur Bk.1; Geoffrey of Monmouth,incestuous; Mordred kills Arthur at Camlann,couple,legendary,
Lancelot and Elaine of Corbenic,Lancelot,Elaine of Corbenic,arthurian::lancelot,arthurian::elaine_of_corbenic,Galahad,male,1,arthurian,Lancelot-Grail (Vulgate Cycle); Malory Le Morte d'Arthur,Galahad = purest Grail knight,couple,legendary,
Uther Pendragon and Igraine,Uther Pendragon,Igraine,arthurian::uther_pendragon,arthurian::igraine,Arthur,male,1,arthurian,Geoffrey of Monmouth Historia 8.19-20; Malory,conceived through Merlin's magic disguise,couple,legendary,
Angiras and Shraddha,Angiras,Shraddha,bhagavata_purana::angiras,bhagavata_purana::shraddha,Utathya,male,1,bhagavata_purana,Vishnu Purana 1.10; Bhagavata Purana 4.1.34-35,,couple,mythological,
Angiras and Shraddha,Angiras,Shraddha,bhagavata_purana::angiras,bhagavata_purana::shraddha,Brihaspati,male,2,bhagavata_purana,Vishnu Purana 1.10; Bhagavata Purana 4.1.34-35,,couple,mythological,
Angiras and Shraddha,Angiras,Shraddha,bhagavata_purana::angiras,bhagavata_purana::shraddha,Samvarta,male,3,bhagavata_purana,Vishnu Purana 1.10; Bhagavata Purana 4.1.34-35,,couple,mythological,
Angiras and Shraddha,Angiras,Shraddha,bhagavata_purana::angiras,bhagavata_purana::shraddha,unnamed,male,4,bhagavata_purana,Vishnu Purana 1.10; Bhagavata Purana 4.1.34-35,,couple,mythological,
Angiras and Shraddha,Angiras,Shraddha,bhagavata_purana::angiras,bhagavata_purana::shraddha,Sinivali,female,5,bhagavata_purana,Vishnu Purana 1.10; Bhagavata Purana 4.1.34-35,,couple,mythological,
Angiras and Shraddha,Angiras,Shraddha,bhagavata_purana::angiras,bhagavata_purana::shraddha,Kuhu,female,6,bhagavata_purana,Vishnu Purana 1.10; Bhagavata Purana 4.1.34-35,,couple,mythological,
Atri and Anasuya,Atri,Anasuya,bhagavata_purana::atri,bhagavata_purana::anasuya,Dattatreya,male,1,bhagavata_purana,Bhagavata Purana 4.1.15; Markandeya Purana,Trimurtis born as their sons,couple,mythological,
Atri and Anasuya,Atri,Anasuya,bhagavata_purana::atri,bhagavata_purana::anasuya,Durvasa,male,2,bhagavata_purana,Bhagavata Purana 4.1.15; Markandeya Purana,Trimurtis born as their sons,couple,mythological,
Atri and Anasuya,Atri,Anasuya,bhagavata_purana::atri,bhagavata_purana::anasuya,Soma (Chandra),male,3,bhagavata_purana,Bhagavata Purana 4.1.15; Markandeya Purana,Trimurtis born as their sons,couple,mythological,
Chyavana and Sukanya,Chyavana,Sukanya,bhagavata_purana::chyavana,bhagavata_purana::sukanya,Apnavana (or Pramati),male,1,bhagavata_purana,Matsya Purana; Bhagavata Purana 9.15,Chyavana rejuvenated by Ashvins,couple,legendary,
Devahuti and Kardama,Kardama,Devahuti,bhagavata_purana::kardama,bhagavata_purana::devahuti,Kapila (avatar of Vishnu),male,1,bhagavata_purana,Bhagavata Purana 3.24.20-25; Vishnu Purana 1.10,9 daughters + 1 son Kapila (founder of Sankhya),couple,mythological,
Devahuti and Kardama,Kardama,Devahuti,bhagavata_purana::kardama,bhagavata_purana::devahuti,Kala,female,2,bhagavata_purana,Bhagavata Purana 3.24.20-25; Vishnu Purana 1.10,9 daughters + 1 son Kapila (founder of Sankhya),couple,mythological,
Devahuti and Kardama,Kardama,Devahuti,bhagavata_purana::kardama,bhagavata_purana::devahuti,Anasuya,female,3,bhagavata_purana,Bhagavata Purana 3.24.20-25; Vishnu Purana 1.10,9 daughters + 1 son Kapila (founder of Sankhya),couple,mythological,
Devahuti and Kardama,Kardama,Devahuti,bhagavata_purana::kardama,bhagavata_purana::devahuti,Shraddha,female,4,bhagavata_purana,Bhagavata Purana 3.24.20-25; Vishnu Purana 1.10,9 daughters + 1 son Kapila (founder of Sankhya),couple,mythological,
Devahuti and Kardama,Kardama,Devahuti,bhagavata_purana::kardama,bhagavata_purana::devahuti,Havirbhu,female,5,bhagavata_purana,Bhagavata Purana 3.24.20-25; Vishnu Purana 1.10,9 daughters + 1 son Kapila (founder of Sankhya),couple,mythological,
Devahuti and Kardama,Kardama,Devahuti,bhagavata_purana::kardama,bhagavata_purana::devahuti,Gati,female,6,bhagavata_purana,Bhagavata Purana 3.24.20-25; Vishnu Purana 1.10,9 daughters + 1 son Kapila (founder of Sankhya),couple,mythological,
Devahuti and Kardama,Kardama,Devahuti,bhagavata_purana::kardama,bhagavata_purana::devahuti,Kriya,female,7,bhagavata_purana,Bhagavata Purana 3.24.20-25; Vishnu Purana 1.10,9 daughters + 1 son Kapila (founder of Sankhya),couple,mythological,
Devahuti and Kardama,Kardama,Devahuti,bhagavata_purana::kardama,bhagavata_purana::devahuti,Khyati,female,8,bhagavata_purana,Bhagavata Purana 3.24.20-25; Vishnu Purana 1.10,9 daughters + 1 son Kapila (founder of Sankhya),couple,mythological,
Devahuti and Kardama,Kardama,Devahuti,bhagavata_purana::kardama,bhagavata_purana::devahuti,Arundhati,female,9,bhagavata_purana,Bhagavata Purana 3.24.20-25; Vishnu Purana 1.10,9 daughters + 1 son Kapila (founder of Sankhya),couple,mythological,
Devahuti and Kardama,Kardama,Devahuti,bhagavata_purana::kardama,bhagavata_purana::devahuti,Shanti,female,10,bhagavata_purana,Bhagavata Purana 3.24.20-25; Vishnu Purana 1.10,9 daughters + 1 son Kapila (founder of Sankhya),couple,mythological,
Jamadagni and Renuka,Jamadagni,Renuka,bhagavata_purana::jamadagni,bhagavata_purana::renuka,Vasumana,male,1,bhagavata_purana,Bhagavata Purana 9.15.12-13; Vishnu Purana 4.7,Parashurama = 6th Vishnu avatar,couple,legendary,
Jamadagni and Renuka,Jamadagni,Renuka,bhagavata_purana::jamadagni,bhagavata_purana::renuka,Vasu,male,2,bhagavata_purana,Bhagavata Purana 9.15.12-13; Vishnu Purana 4.7,Parashurama = 6th Vishnu avatar,couple,legendary,
Jamadagni and Renuka,Jamadagni,Renuka,bhagavata_purana::jamadagni,bhagavata_purana::renuka,Vishvavasu,male,3,bhagavata_purana,Bhagavata Purana 9.15.12-13; Vishnu Purana 4.7,Parashurama = 6th Vishnu avatar,couple,legendary,
Jamadagni and Renuka,Jamadagni,Renuka,bhagavata_purana::jamadagni,bhagavata_purana::renuka,Rumanvat,male,4,bhagavata_purana,Bhagavata Purana 9.15.12-13; Vishnu Purana 4.7,Parashurama = 6th Vishnu avatar,couple,legendary,
Jamadagni and Renuka,Jamadagni,Renuka,bhagavata_purana::jamadagni,bhagavata_purana::renuka,Parashurama,male,5,bhagavata_purana,Bhagavata Purana 9.15.12-13; Vishnu Purana 4.7,Parashurama = 6th Vishnu avatar,couple,legendary,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,Dvimurdha,male,1,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,Shambar,male,2,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,Ayomukha,male,3,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,Shankushiras,male,4,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,Kapila,male,5,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,Vamana,male,6,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,Marichi,male,7,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,et al.,male,8,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,,male,9,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,,male,10,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,,male,11,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,,male,12,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,,male,13,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,,male,14,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,,male,15,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,,male,16,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,,male,17,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,,male,18,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,,male,19,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,,male,20,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,,male,21,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,,male,22,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,,male,23,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,,male,24,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,,male,25,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,,male,26,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,,male,27,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,,male,28,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,,male,29,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,,male,30,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,,male,31,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,,male,32,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,,male,33,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,,male,34,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,,male,35,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
Kashyapa and Danu,Kashyapa,Danu,bhagavata_purana::kashyapa,bhagavata_purana::danu,,male,36,bhagavata_purana,Vishnu Purana 1.21; Bhagavata Purana 6.6.29-31,Danavas (demon race),couple,mythological,
