parents,husband,wife,husband_id,wife_id,n_sons,sons,n_daughters,daughters,n_unknown_sex,epic,source,comments,row_type,historicity,family_id
King of Kalinga,King of Kalinga,,mahavamsa::king_of_kalinga,,1,Prince,1,Princess,0,mahavamsa,Mahavamsa Ch.6,Prince lineage leads to Royal Standard Bearer,couple,legendary,
King of Vanga and Princess of Kalinga,King of Vanga,Princess of Kalinga,mahavamsa::king_of_vanga,mahavamsa::princess_of_kalinga,0,,1,Suppadevi,0,mahavamsa,Mahavamsa Ch.6,,couple,legendary,
The Lion and Suppadevi,The Lion,Suppadevi,mahavamsa::the_lion,mahavamsa::suppadevi,1,Sihabahu,1,Sihasivali,0,mahavamsa,Mahavamsa Ch.6,Suppadevi also later married Royal Standard Bearer,couple,legendary,
Royal Standard Bearer and Suppadevi,Royal Standard Bearer,Suppadevi,mahavamsa::royal_standard_bearer,mahavamsa::suppadevi,0,,0,,0,mahavamsa,Mahavamsa Ch.6,Prince of Kalinga; second husband of Suppadevi; no children shown in tree,couple,legendary,
Sihabahu and Sihasivali,Sihabahu,Sihasivali,mahavamsa::sihabahu,mahavamsa::sihasivali,3,"Vijaya I, Vijaya of Pandava, Sumitta",0,,0,mahavamsa,Mahavamsa Ch.6-7,had 32 sons per Mahavamsa text; Vijaya of Pandava became King of Madhura; other issue noted,couple,legendary,
Vijaya I and Kuveni,Vijaya I,Kuveni,mahavamsa::vijaya_i,mahavamsa::kuveni,1,Jivatissa,1,Dissala,0,mahavamsa,Mahavamsa Ch.7,first king of Lanka 543-505 BC; Kuveni was a yaksha princess,couple,semi-historical,
Jivatissa and Dissala,Jivatissa,Dissala,mahavamsa::jivatissa,mahavamsa::dissala,0,,0,,0,mahavamsa,Mahavamsa Ch.7,children of Vijaya by Kuveni; fled to Sumanakuta; descendants not traced,couple,legendary,
Sumitta and Princess of Madha,Sumitta,Princess of Madha,mahavamsa::sumitta,mahavamsa::princess_of_madha,0,,0,,0,mahavamsa,Mahavamsa Ch.8,issue mentioned but not named,couple,legendary,
Jayasena,Jayasena,,mahavamsa::jayasena,,0,,0,,0,mahavamsa,Mahavamsa Ch.2,King of Kapilavatthu; Mahasammata line of Kings; ancestor of both Kapilavatthu and Devadaha branches,couple,legendary,
Sihahanu and Kacchana,Sihahanu,Kacchana,mahavamsa::sihahanu,mahavamsa::kacchana,7,"Amitodana, Ghatitidana, Dhotodana, Sukkodana, Pamita, Suddhodana, Dandapani",0,,0,mahavamsa,Mahavamsa Ch.2,Kapilavatthu branch under Jayasena; Ghatitidana may be variant of Sakkodana; tree also notes Kacchana (married Sihahanu) separately,couple,legendary,
Dhotodana and Maya,Dhotodana,Maya,mahavamsa::dhotodana,mahavamsa::maya_wife_of_dhotodana,0,,0,,0,mahavamsa,Mahavamsa Ch.2,Dhotodana was son of Sihahanu; Maya shown with = sign in tree; possibly different Maya from wife of Suddhodana; no children shown,couple,legendary,
Anjana and Yasodhara,Anjana,Yasodhara,mahavamsa::anjana,mahavamsa::yasodhara,1,Suppbuddha,2,"Maya, Pajapati",0,mahavamsa,Mahavamsa Ch.2,Devadaha branch; Maya and Pajapati both married Suddhodana; Kacchana (married Sihahanu) also shown as related,couple,legendary,
Suddhodana and Maya,Suddhodana,Maya,mahavamsa::suddhodana,mahavamsa::maya,1,Siddhartha,0,,0,mahavamsa,Mahavamsa Ch.2,Suddhodana also married Pajapati (Maha Pajapati Gotami); Siddhartha is the Buddha,couple,legendary,
Suddhodana and Pajapati,Suddhodana,Pajapati,mahavamsa::suddhodana,mahavamsa::pajapati,0,,0,,0,mahavamsa,Mahavamsa Ch.2,Pajapati (Maha Pajapati Gotami) was second wife of Suddhodana; from Devadaha; no separate children shown in tree,couple,legendary,
Siddhartha and Subhaddakacchana,Siddhartha,Subhaddakacchana,mahavamsa::siddhartha,mahavamsa::subhaddakacchana,1,Rahula,0,,0,mahavamsa,Mahavamsa Ch.2,Siddhartha is the Buddha,couple,legendary,
Suppbuddha,Suppbuddha,,mahavamsa::suppbuddha,,1,Devadatta,1,Subhaddakacchana,0,mahavamsa,Mahavamsa Ch.2,Subhaddakacchana married Siddhartha,couple,legendary,
Amitodana,Amitodana,,mahavamsa::amitodana,,1,Pandu,0,,0,mahavamsa,Mahavamsa Ch.8,son of Sihahanu; father/ancestor of Pandu,couple,legendary,
Pandu and Susima,Pandu,Susima,mahavamsa::pandu,mahavamsa::susima,8,"Panduvasudeva, Dighaya, Rama, Uruvela, Anuradha, Vigita, Rohana, Gamani",0,,0,mahavamsa,Mahavamsa Ch.8,Pandu is descendant of Amitodana; all sons listed in tree,couple,legendary,
Panduvasudeva and Bhaddakacchana,Panduvasudeva,Bhaddakacchana,mahavamsa::panduvasudeva,mahavamsa::bhaddakacchana,2,"Abhaya Tissa I, Girikandasiva",1,Citta,0,mahavamsa,Mahavamsa Ch.8-9,King of Lanka 504-474 BC; Bhaddakacchana was Sakyan princess; other issue also noted,couple,semi-historical,
Dighagamani and Citta,Dighagamani,Citta,mahavamsa::dighagamani,mahavamsa::citta,0,,1,Suvannapali,0,mahavamsa,Mahavamsa Ch.9,,couple,semi-historical,
Pandukabhaya and Suvannapali,Pandukabhaya,Suvannapali,mahavamsa::pandukabhaya,mahavamsa::suvannapali,1,Mutasiva,0,,0,mahavamsa,Mahavamsa Ch.9-10,King of Lanka 437-367 BC,couple,semi-historical,
Mutasiva,Mutasiva,,mahavamsa::mutasiva,,9,"Devanampiya Tissa, Uttiya, Mahanaga, Mahasiva, Suratissa, Asela, Mattabhaya, Asoka, Uddhachulabhaya",0,,0,mahavamsa,Mahavamsa Ch.11,King of Lanka 367-307 BC; had 10 sons and 2 daughters per text but tree shows 9 named sons,couple,semi-historical,
Devanampiya Tissa,Devanampiya Tissa,,mahavamsa::devanampiya_tissa,,1,Son,0,,0,mahavamsa,Mahavamsa Ch.11-20,King of Lanka 307-267 BC; son died in childhood; introduced Buddhism,couple,historical,
Uttiya,Uttiya,,mahavamsa::uttiya,,0,,0,,0,mahavamsa,Mahavamsa Ch.20,King of Lanka 267-257 BC; tree shows (issue) with Uttiya and Tissa below,couple,historical,
Uttiya (issue),,,,,2,"Uttiya, Tissa",0,,0,mahavamsa,Mahavamsa Ch.22,descendants of Uttiya son of Mutasiva; Tissa connects to Vihara Devi,couple,semi-historical,
Mahanaga and Anula,Mahanaga,Anula,mahavamsa::mahanaga_ruhuna,mahavamsa::anula_wife_of_mahanaga,1,Gothabhaya,0,,0,mahavamsa,Mahavamsa Ch.22,Mahanaga was son of Mutasiva; founded Ruhuna kingdom,couple,semi-historical,
Gothabhaya,Gothabhaya,,mahavamsa::gothabhaya_ruhuna,,0,,0,,0,mahavamsa,Mahavamsa Ch.22,ancestor of Kakavanna Tissa; Ruhuna line,couple,semi-historical,
Kakavanna Tissa and Vihara Devi,Kakavanna Tissa,Vihara Devi,mahavamsa::kakavanna_tissa,mahavamsa::vihara_devi,2,"Duttha Gamani, Saddha Tissa",0,,0,mahavamsa,Mahavamsa Ch.22-23,King of Ruhuna; Vihara Devi came by sea,couple,semi-historical,
Kakavanna Tissa and Second Wife,Kakavanna Tissa,Second Wife,mahavamsa::kakavanna_tissa,mahavamsa::second_wife_of_kakavanna,1,Dighabhaya,0,,0,mahavamsa,Mahavamsa Ch.22,second wife of Kakavanna Tissa,couple,semi-historical,
Duttha Gamani,Duttha Gamani,,mahavamsa::duttha_gamani,,1,Sali,0,,0,mahavamsa,Mahavamsa Ch.24-32,King of Lanka 161-137 BC; defeated Elara,couple,historical,
Sali and Asokamala,Sali,Asokamala,mahavamsa::sali,mahavamsa::asokamala,0,,0,,0,mahavamsa,Mahavamsa Ch.32,renounced throne for love of Asokamala,couple,semi-historical,
Saddha Tissa and Anula,Saddha Tissa,Anula,mahavamsa::saddha_tissa,mahavamsa::anula_wife_of_saddha_tissa,4,"Thullatthanaka, Lajatissa, Khallatanaga, Vatta Gamani",1,Somadevi,0,mahavamsa,Mahavamsa Ch.33,King of Lanka 137-119 BC,couple,historical,
Vatta Gamani and Somadevi,Vatta Gamani,Somadevi,mahavamsa::vatta_gamani,mahavamsa::somadevi,0,,0,,0,mahavamsa,Mahavamsa Ch.33-34,King of Lanka 103 BC and 89-76 BC; no children shown by Somadevi in tree,couple,historical,
Vatta Gamani and Anula,Vatta Gamani,Anula,mahavamsa::vatta_gamani,mahavamsa::anula_wife_of_vatta_gamani,1,Mahanaga,0,,0,mahavamsa,Mahavamsa Ch.33-34,second wife; Mahanaga also called Cora,couple,historical,
Khallatanaga,Khallatanaga,,mahavamsa::khallatanaga,,1,Mahacula Mahatissa,0,,0,mahavamsa,Mahavamsa Ch.33,King of Lanka 109-103 BC,couple,historical,
